OPPONENT_ABBREV,POSITION,OPP_ALLOW_PTS,OPP_ALLOW_REB,OPP_ALLOW_AST
HOU,C,9.16326530612245,6.401360544217687,1.6870748299319729
HOU,F,8.848484848484848,3.6885521885521886,1.6868686868686869
HOU,G,11.179297597042513,3.053604436229205,2.8022181146025877
IND,C,11.03076923076923,7.292307692307692,1.7487179487179487
IND,F,9.2596599690881,4.030911901081916,1.8145285935085007
IND,G,11.588976377952756,3.1559055118110235,2.899212598425197
LAC,C,9.891566265060241,6.578313253012048,2.2590361445783134
LAC,F,8.72875816993464,3.656862745098039,1.7107843137254901
LAC,G,11.092250922509225,3.0701107011070112,3.0129151291512914
LAL,C,8.68235294117647,6.329411764705882,1.6529411764705881
LAL,F,9.430717863105174,3.9048414023372287,1.9632721202003338
LAL,G,11.280357142857143,2.9339285714285714,3.2232142857142856
MEL,C,6.0,8.0,1.0
MEL,F,7.333333333333333,2.6666666666666665,1.3333333333333333
MEL,G,7.125,2.75,1.375
MEM,C,11.217105263157896,7.1381578947368425,1.9473684210526316
MEM,F,9.311774461028193,3.923714759535655,1.8872305140961858
MEM,G,11.593368237347295,3.080279232111693,3.118673647469459
MIA,C,10.955128205128204,7.660256410256411,1.705128205128205
MIA,F,9.198979591836734,4.125850340136054,1.7414965986394557
MIA,G,11.620437956204379,3.434306569343066,3.395985401459854
MIL,C,10.238372093023257,6.866279069767442,1.8895348837209303
MIL,F,9.186528497409327,4.0,1.7495682210708117
MIL,G,11.746296296296297,3.4296296296296296,3.3203703703703704
MIN,C,9.403614457831326,6.572289156626506,1.8975903614457832
MIN,F,9.114977307110438,3.8350983358547657,1.692889561270802
MIN,G,10.904682274247492,3.096989966555184,2.8846153846153846
NOP,C,10.269736842105264,7.4605263157894735,2.2302631578947367
NOP,F,9.619932432432432,3.9628378378378377,1.9814189189189189
NOP,G,12.261506276150628,3.225941422594142,3.3891213389121337
NYK,C,9.53757225433526,6.398843930635838,1.745664739884393
NYK,F,9.037914691943127,3.758293838862559,1.7298578199052133
NYK,G,11.43421052631579,3.1661184210526314,2.960526315789474
NZB,C,7.0,6.666666666666667,1.3333333333333333
NZB,F,9.428571428571429,3.6785714285714284,1.6428571428571428
NZB,G,9.666666666666666,2.111111111111111,3.3333333333333335
OKC,C,9.33160621761658,6.616580310880829,1.7409326424870466
OKC,F,8.816446402349486,4.07488986784141,1.723935389133627
OKC,G,10.312130177514794,3.21301775147929,2.649408284023669
ORL,C,9.456953642384105,6.847682119205298,1.6158940397350994
ORL,F,8.421501706484642,3.7030716723549486,1.5546075085324231
ORL,G,11.401500938086304,3.123827392120075,2.827392120075047
PHI,C,10.74025974025974,6.987012987012987,1.7857142857142858
PHI,F,9.53956834532374,4.156474820143885,1.9568345323741008
PHI,G,11.220952380952381,3.163809523809524,3.2990476190476192
PHX,C,11.0828025477707,7.191082802547771,2.127388535031847
PHX,F,9.748653500897666,3.949730700179533,1.9066427289048473
PHX,G,11.284069097888676,3.1343570057581576,3.111324376199616
POR,C,10.806666666666667,6.906666666666666,2.18
POR,F,8.804577464788732,3.869718309859155,1.8327464788732395
POR,G,11.765166340508806,3.1819960861056753,2.9452054794520546
SAC,C,10.9875,7.3375,2.15
SAC,F,9.615526802218115,3.711645101663586,1.855822550831793
SAC,G,11.657943925233646,3.1570093457943926,3.2205607476635514
SAS,C,10.056962025316455,6.386075949367089,1.9050632911392404
SAS,F,9.421238938053097,4.0,1.9132743362831859
SAS,G,11.580078125,3.31640625,3.27734375
SEM,C,7.0,4.5,2.0
SEM,F,5.0,3.7142857142857144,1.4285714285714286
SEM,G,9.75,1.875,2.375
TOR,C,11.211920529801324,7.768211920529802,2.2450331125827816
TOR,F,9.195652173913043,3.9046822742474916,1.7792642140468227
TOR,G,11.476470588235294,3.149019607843137,2.9784313725490197
ULM,C,5.666666666666667,6.666666666666667,0.3333333333333333
ULM,F,9.666666666666666,3.1666666666666665,2.5
ULM,G,12.0,3.0,2.3333333333333335
UTA,C,11.187096774193549,6.574193548387097,2.0709677419354837
UTA,F,9.585910652920962,3.9536082474226806,2.0257731958762886
UTA,G,12.486166007905139,3.2233201581027666,3.5948616600790513
WAS,C,11.826086956521738,7.453416149068323,1.9006211180124224
